cf_id,contact_id,category_id,subcategory_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,staff_pick,spotlight
1825,1663,5,5,Gray-Jenkins,Devolved next generation adapter,4500.0,14942.0,successful,142,GB,GBP,2021-07-23,2021-09-12,False,False
1019,3605,3,9,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.0,104257.0,successful,2673,US,USD,2021-05-01,2021-10-01,False,False
821,4678,7,12,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.0,11904.0,successful,163,US,USD,2020-10-09,2021-05-23,False,True
2653,2251,4,4,Spencer-Bates,Optional responsive customer loyalty,107500.0,51814.0,canceled,1480,US,USD,2020-11-20,2021-07-27,False,False
2502,6202,2,2,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599.0,failed,15,US,USD,2021-01-08,2021-10-15,False,False
325,3715,4,4,"Campbell, Brown and Powell",Synchronized global task-force,130800.0,137635.0,successful,2220,US,USD,2020-12-23,2021-12-23,False,True
1345,4242,5,13,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.0,150965.0,successful,1606,CH,CHF,2020-11-06,2021-08-27,False,False
2303,4326,5,11,Clark-Cooke,Down-sized analyzing challenge,9000.0,14455.0,successful,129,US,USD,2020-10-28,2021-02-15,False,False
2224,5560,7,12,Schroeder Ltd,Progressive needs-based focus group,3500.0,10850.0,successful,226,GB,GBP,2020-11-25,2021-02-05,False,False
1173,4002,5,5,Jackson PLC,Ergonomic 6thgeneration success,101000.0,87676.0,failed,2307,IT,EUR,2021-02-21,2021-11-26,False,False
210,3813,4,4,"Blair, Collins and Carter",Exclusive interactive approach,50200.0,189666.0,successful,5419,US,USD,2021-04-04,2021-12-09,False,False
1546,5336,5,5,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.0,14025.0,successful,165,US,USD,2021-01-26,2021-12-10,False,False
2871,4994,5,7,Mitchell and Sons,Synergized intangible challenge,125500.0,188628.0,successful,1965,DK,DKK,2021-03-16,2021-03-25,False,True
2034,1471,4,4,Jackson-Lewis,Monitored multi-state encryption,700.0,1101.0,successful,16,US,USD,2021-04-07,2021-11-26,False,False
2677,4482,6,14,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.0,11339.0,successful,107,US,USD,2020-11-20,2021-10-18,False,True
1865,3241,8,15,Maldonado-Gonzalez,Digitized client-driven database,3100.0,10085.0,successful,134,US,USD,2021-08-23,2022-01-10,False,False
170,3477,4,4,Kim-Rice,Organized bi-directional function,9900.0,5027.0,failed,88,DK,DKK,2021-04-14,2021-05-01,False,False
462,2265,3,9,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.0,14878.0,successful,198,US,USD,2020-11-18,2021-03-18,False,True
3122,5911,2,2,Watts Group,Universal 5thgeneration neural-net,5600.0,11924.0,successful,111,IT,EUR,2021-03-17,2021-07-08,False,True
1175,2288,1,1,Werner-Bryant,Virtual uniform frame,1800.0,7991.0,successful,222,US,USD,2020-06-20,2021-01-30,False,False
2301,4064,6,16,Schmitt-Mendoza,Profound explicit paradigm,90200.0,167717.0,successful,6212,US,USD,2020-11-14,2021-07-06,False,False
91,1294,6,14,Reid-Mccullough,Visionary real-time groupware,1600.0,10541.0,successful,98,DK,DKK,2020-11-25,2021-03-01,False,False
87,5008,4,4,Woods-Clark,Networked tertiary Graphical User Interface,9500.0,4530.0,failed,48,US,USD,2021-01-18,2021-03-20,False,True
1482,3604,2,2,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247.0,successful,92,US,USD,2021-05-23,2021-09-23,False,False
1711,3263,4,4,Bennett and Sons,Function-based multi-state software,1500.0,7129.0,successful,149,US,USD,2020-12-18,2021-06-27,False,False
2294,5631,4,4,Lamb Inc,Optimized leadingedge concept,33300.0,128862.0,successful,2431,US,USD,2021-02-22,2021-11-10,False,False
2389,2851,2,2,Casey-Kelly,Sharable holistic interface,7200.0,13653.0,successful,303,US,USD,2021-01-25,2022-01-30,False,False
378,3714,2,17,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.0,2.0,failed,1,IT,EUR,2021-10-08,2021-11-03,False,False
1213,1664,3,9,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.0,145243.0,failed,1467,GB,GBP,2020-09-07,2021-07-29,False,True
29,5027,4,4,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.0,2459.0,failed,75,US,USD,2021-03-12,2022-01-05,False,False
2309,3070,5,7,Smith-Jones,Reverse-engineered static concept,8800.0,12356.0,successful,209,US,USD,2021-10-14,2021-12-24,False,False
2101,4248,3,9,Roy PLC,Multi-channeled neutral customer loyalty,6000.0,5392.0,failed,120,US,USD,2021-03-30,2021-05-24,False,False
1057,2034,2,18,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.0,11746.0,successful,131,US,USD,2021-09-29,2021-11-29,False,False
2655,4085,3,9,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.0,11493.0,successful,164,US,USD,2021-03-03,2021-05-22,False,False
202,3569,7,12,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.0,6243.0,successful,201,US,USD,2021-07-23,2021-12-04,False,False
2025,3889,4,4,Anderson-Perez,Expanded 3rdgeneration strategy,2700.0,6132.0,successful,211,US,USD,2021-02-09,2021-06-11,False,False
2395,3136,4,4,"Wright, Fox and Marks",Assimilated real-time support,1400.0,3851.0,successful,128,US,USD,2020-12-10,2021-03-07,False,True
1418,2103,4,4,Crawford-Peters,User-centric regional database,94200.0,135997.0,successful,1600,CA,CAD,2020-10-20,2021-08-24,False,False
1905,2329,4,4,Romero-Hoffman,Open-source zero administration complexity,199200.0,184750.0,failed,2253,CA,CAD,2021-06-15,2021-10-26,False,False
1969,3325,3,3,Sparks-West,Organized incremental standardization,2000.0,14452.0,successful,249,US,USD,2021-08-19,2021-11-21,False,False
2430,3131,4,4,"Baker, Morgan and Brown",Assimilated didactic open system,4700.0,557.0,failed,5,US,USD,2021-06-25,2021-07-16,False,False
1291,4995,3,3,Mosley-Gilbert,Vision-oriented logistical intranet,2800.0,2734.0,failed,38,US,USD,2021-05-21,2021-09-23,False,True
1934,3631,4,4,Berry-Boyer,Mandatory incremental projection,6100.0,14405.0,successful,236,US,USD,2021-02-23,2021-11-20,False,False
1225,5373,4,4,Sanders-Allen,Grass-roots needs-based encryption,2900.0,1307.0,failed,12,US,USD,2021-10-05,2021-11-06,False,True
1363,3126,3,9,Lopez Inc,Team-oriented 6thgeneration middleware,72600.0,117892.0,successful,4065,GB,GBP,2020-11-03,2021-09-24,False,True
963,2194,4,4,Moreno-Turner,Inverse multi-tasking installation,5700.0,14508.0,successful,246,IT,EUR,2020-08-10,2021-02-07,False,True
1486,2906,4,4,Jones-Watson,Switchable disintermediate moderator,7900.0,1901.0,canceled,17,US,USD,2021-06-27,2022-01-17,False,False
676,2611,4,4,Barker Inc,Re-engineered 24/7 task-force,128000.0,158389.0,successful,2475,IT,EUR,2021-08-08,2022-01-30,False,True
2137,2374,4,4,"Tate, Bass and House",Organic object-oriented budgetary management,6000.0,6484.0,successful,76,US,USD,2021-03-19,2021-06-05,False,False
2656,3254,5,11,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.0,4022.0,successful,54,US,USD,2021-07-27,2021-11-30,False,False
1556,3571,2,18,Collins-Goodman,Cross-platform even-keeled initiative,1400.0,9253.0,successful,88,US,USD,2020-05-11,2021-03-09,False,False
747,2812,2,17,Davis-Michael,Progressive tertiary framework,3900.0,4776.0,successful,85,GB,GBP,2021-06-29,2021-08-27,False,False
60,3961,8,15,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.0,14606.0,successful,170,US,USD,2021-02-25,2021-03-31,False,False
2459,3872,4,4,"Martin, Conway and Larsen",Horizontal next generation function,122900.0,95993.0,failed,1684,US,USD,2020-12-13,2021-12-26,True,True
1903,4736,5,11,Acevedo-Huffman,Pre-emptive impactful model,9500.0,4460.0,failed,56,US,USD,2021-06-17,2021-08-27,False,True
2003,5119,6,19,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.0,13536.0,successful,330,US,USD,2020-12-24,2021-04-16,False,False
2885,5725,4,4,Soto LLC,Triple-buffered reciprocal project,57800.0,40228.0,failed,838,US,USD,2021-06-13,2021-11-18,False,False
2067,4037,7,12,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.0,7012.0,successful,127,US,USD,2021-06-26,2021-10-21,False,False
1610,2109,2,2,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857.0,successful,411,US,USD,2020-11-01,2021-03-04,False,False
2909,3283,7,12,Porter-George,Reactive content-based framework,1000.0,14973.0,successful,180,GB,GBP,2020-10-09,2021-11-11,False,True
1239,6181,2,6,Fitzgerald PLC,Realigned user-facing concept,106400.0,39996.0,failed,1000,US,USD,2021-06-25,2021-08-08,False,False
2480,3251,3,9,Cisneros-Burton,Public-key zero tolerance orchestration,31400.0,41564.0,successful,374,US,USD,2021-07-03,2021-10-05,False,False
2181,3443,2,8,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430.0,successful,71,AU,AUD,2021-05-29,2021-08-20,False,False
2030,2988,4,4,Davis-Smith,Organic motivating firmware,7400.0,12405.0,successful,203,US,USD,2021-05-16,2021-09-12,True,False
2311,1673,2,2,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,123040.0,failed,1482,AU,AUD,2020-08-23,2021-03-24,False,True
2821,2085,6,19,Clark Group,Grass-roots fault-tolerant policy,4800.0,12516.0,successful,113,US,USD,2020-07-21,2021-02-22,False,False
2468,1672,4,4,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400.0,8588.0,successful,96,US,USD,2020-07-23,2021-01-18,False,False
656,4426,4,4,Kramer Group,Synergistic explicit parallelism,7800.0,6132.0,failed,106,US,USD,2021-10-09,2021-11-15,False,True
2791,3211,6,19,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300.0,74688.0,failed,679,IT,EUR,2020-07-03,2021-06-17,False,False
1527,3190,7,12,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000.0,51775.0,successful,498,CH,CHF,2020-08-05,2021-05-15,False,True
1891,2081,4,4,Hall and Sons,Pre-emptive radical architecture,108800.0,65877.0,canceled,610,US,USD,2020-11-22,2021-12-05,False,True
580,3185,3,3,Hanson Inc,Grass-roots web-enabled contingency,2900.0,8807.0,successful,180,GB,GBP,2021-03-14,2021-08-29,False,False
682,5044,5,5,Sanchez LLC,Stand-alone system-worthy standardization,900.0,1017.0,successful,27,US,USD,2021-08-06,2021-09-05,False,False
3097,1883,4,4,Howard Ltd,Down-sized systematic policy,69700.0,151513.0,successful,2331,US,USD,2021-10-18,2021-12-26,False,False
873,2067,1,1,Stewart LLC,Cloned bi-directional architecture,1300.0,12047.0,successful,113,US,USD,2020-11-29,2021-06-11,False,False
1668,4604,7,12,"Arias, Allen and Miller",Seamless transitional portal,97800.0,32951.0,failed,1220,AU,AUD,2021-02-14,2021-11-03,False,False
3076,3203,4,4,Baker-Morris,Fully-configurable motivating approach,7600.0,14951.0,successful,164,US,USD,2020-08-23,2021-02-06,False,False
3146,5758,4,4,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100.0,1.0,failed,1,US,USD,2021-06-22,2021-10-23,False,False
253,5755,2,6,Douglas LLC,Reduced heuristic moratorium,900.0,9193.0,successful,164,US,USD,2021-10-06,2022-01-27,False,True
3088,5150,3,9,Garcia Inc,Front-line web-enabled model,3700.0,10422.0,successful,336,US,USD,2020-09-18,2021-08-18,False,True
393,4181,2,6,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2461.0,failed,37,IT,EUR,2021-05-10,2021-08-03,False,False
2912,3006,2,8,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,170623.0,successful,1917,US,USD,2021-07-09,2021-10-15,False,False
478,4865,3,3,Charles-Johnson,Total fresh-thinking system engine,6800.0,9829.0,successful,95,US,USD,2020-10-08,2021-07-23,False,False
1061,2862,4,4,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900.0,14006.0,successful,147,US,USD,2021-03-05,2021-05-19,False,False
2957,6070,4,4,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500.0,6527.0,successful,86,US,USD,2021-05-07,2021-12-28,False,True
2015,5300,5,5,Decker Inc,Universal encompassing implementation,1500.0,8929.0,successful,83,US,USD,2020-10-14,2021-07-23,False,False
1179,3486,5,20,Romero and Sons,Object-based client-server application,5200.0,3079.0,failed,60,US,USD,2020-10-01,2021-06-12,False,False
2568,5989,1,1,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,21307.0,failed,296,US,USD,2020-05-05,2021-05-30,False,False
2869,2849,6,16,Hart-Briggs,Re-engineered user-facing approach,61400.0,73653.0,successful,676,US,USD,2021-03-17,2021-10-27,False,False
718,1612,3,3,Jones-Meyer,Re-engineered client-driven hub,4700.0,12635.0,successful,361,AU,AUD,2020-10-24,2021-04-12,False,False
1211,3307,1,1,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12437.0,successful,131,US,USD,2021-01-29,2021-02-13,False,False
2431,5288,3,9,Harper-Davis,Robust heuristic encoding,1900.0,13816.0,successful,126,US,USD,2021-07-02,2021-12-31,False,True
468,6026,6,14,Barrett PLC,Team-oriented clear-thinking capacity,166700.0,145382.0,failed,3304,IT,EUR,2021-03-20,2021-04-16,False,False
1862,2212,4,4,David-Clark,De-engineered motivating standardization,7200.0,6336.0,failed,73,US,USD,2021-09-02,2021-12-31,False,False
2300,4591,5,20,Chaney-Dennis,Business-focused 24hour groupware,4900.0,8523.0,successful,275,US,USD,2021-06-18,2021-12-31,False,False
449,2771,8,15,"Robinson, Lopez and Christensen",Organic next generation protocol,5400.0,6351.0,successful,67,US,USD,2020-10-07,2021-10-17,False,False
283,5682,5,5,Clark and Sons,Reverse-engineered full-range Internet solution,5000.0,10748.0,successful,154,US,USD,2021-07-27,2021-11-01,False,True
2484,5368,7,21,Vega Group,Synchronized regional synergy,75100.0,112272.0,successful,1782,US,USD,2021-04-15,2021-10-08,False,True
1490,3706,7,12,Brown-Brown,Multi-lateral homogeneous success,45300.0,99361.0,successful,903,US,USD,2020-06-21,2021-04-14,False,False
186,4034,6,14,Taylor PLC,Seamless zero-defect solution,136800.0,88055.0,failed,3387,US,USD,2020-05-21,2021-01-28,False,False
2999,3209,4,4,Edwards-Lewis,Enhanced scalable concept,177700.0,33092.0,failed,662,CA,CAD,2022-01-15,2022-02-03,True,False
2819,2384,8,15,"Stanton, Neal and Rodriguez",Polarized uniform software,2600.0,9562.0,successful,94,IT,EUR,2020-07-19,2021-02-28,False,False
2105,3074,4,4,Pratt LLC,Stand-alone web-enabled moderator,5300.0,8475.0,successful,180,US,USD,2020-05-10,2021-05-02,False,False
1324,2031,4,4,Gross PLC,Proactive methodical benchmark,180200.0,69617.0,failed,774,US,USD,2020-03-24,2021-03-11,False,True
1952,5873,4,4,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200.0,53067.0,failed,672,CA,CAD,2021-03-03,2021-06-16,False,False
2404,5501,2,2,Allen-Curtis,Phased human-resource core,70600.0,42596.0,canceled,532,US,USD,2020-09-13,2021-09-17,False,False
990,3489,1,1,Morgan-Martinez,Mandatory tertiary implementation,148500.0,4756.0,canceled,55,AU,AUD,2021-03-23,2021-12-06,False,False
1459,4210,5,7,"Luna, Anderson and Fox",Secured directional encryption,9600.0,14925.0,successful,533,DK,DKK,2020-10-10,2021-07-13,False,False
1106,6151,3,3,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700.0,166116.0,successful,2443,GB,GBP,2021-07-17,2022-01-18,False,False
1488,6047,4,4,Flowers and Sons,Virtual static core,3300.0,3834.0,successful,89,US,USD,2020-10-20,2021-11-02,False,True
2107,5445,2,22,Gates PLC,Secured content-based product,4500.0,13985.0,successful,159,US,USD,2020-07-09,2021-05-18,False,False
2660,5493,5,5,Caldwell LLC,Secured executive concept,99500.0,89288.0,failed,940,CH,CHF,2021-07-23,2021-07-28,False,True
2647,6036,4,4,"Le, Burton and Evans",Balanced zero-defect software,7700.0,5488.0,failed,117,US,USD,2020-12-25,2021-12-02,False,True
565,2368,5,7,Briggs PLC,Distributed context-sensitive flexibility,82800.0,2721.0,canceled,58,US,USD,2021-03-23,2021-04-14,False,True
2713,1501,6,10,Hudson-Nguyen,Down-sized disintermediate support,1800.0,4712.0,successful,50,US,USD,2020-04-07,2021-02-14,False,False
558,4351,7,21,Hogan Ltd,Stand-alone mission-critical moratorium,9600.0,9216.0,failed,115,US,USD,2021-05-10,2021-12-17,False,False
698,3096,3,9,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100.0,19246.0,failed,326,US,USD,2021-01-14,2021-07-07,False,True
321,6162,5,5,Bautista-Cross,Fully-configurable coherent Internet solution,5500.0,12274.0,successful,186,US,USD,2020-10-18,2021-05-05,False,False
1302,1433,3,3,Jackson LLC,Distributed motivating algorithm,64300.0,65323.0,successful,1071,US,USD,2020-05-07,2021-03-21,False,False
1410,2720,3,3,Figueroa Ltd,Expanded solution-oriented benchmark,5000.0,11502.0,successful,117,US,USD,2021-05-26,2021-11-24,False,False
2465,5251,2,8,Avila-Jones,Implemented discrete secured line,5400.0,7322.0,successful,70,US,USD,2020-12-03,2021-11-25,False,False
377,1797,4,4,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000.0,11619.0,successful,135,US,USD,2021-02-07,2021-04-20,False,False
1882,1656,3,9,Fields-Moore,Secured reciprocal array,25000.0,59128.0,successful,768,CH,CHF,2021-01-28,2021-11-21,False,False
822,1346,4,4,Harris-Golden,Optional bandwidth-monitored middleware,8800.0,1518.0,canceled,51,US,USD,2020-09-15,2021-02-01,False,False
2730,2989,4,4,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300.0,9337.0,successful,199,US,USD,2021-08-21,2021-11-15,False,True
2198,5629,3,9,"White, Larson and Wright",Upgradable hybrid capability,9300.0,11255.0,successful,107,US,USD,2020-04-19,2021-02-15,False,False
2757,3456,2,8,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13632.0,successful,195,US,USD,2020-09-08,2021-04-16,False,False
2588,3229,2,2,"Brown, Palmer and Pace",Networked stable workforce,100.0,1.0,failed,1,US,USD,2021-01-21,2021-07-11,False,False
1090,2277,2,6,Parker LLC,Customizable intermediate extranet,137200.0,88037.0,failed,1467,US,USD,2021-12-02,2022-01-12,False,False
64,1276,2,8,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,175573.0,successful,3376,US,USD,2020-11-13,2021-07-23,False,False
2171,3694,4,4,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400.0,176112.0,failed,5681,US,USD,2021-07-17,2021-11-12,False,False
625,2260,2,8,Rodriguez-Brown,Devolved foreground benchmark,171300.0,100650.0,failed,1059,US,USD,2021-01-29,2021-06-20,False,True
1065,5374,4,4,Hall-Schaefer,Distributed eco-centric methodology,139500.0,90706.0,failed,1194,US,USD,2021-05-23,2021-07-29,False,False
174,4420,2,2,Meza-Rogers,Streamlined encompassing encryption,36400.0,26914.0,canceled,379,AU,AUD,2020-11-24,2021-12-26,False,False
1344,3849,8,15,Curtis-Curtis,User-friendly reciprocal initiative,4200.0,2212.0,failed,30,AU,AUD,2021-04-20,2021-10-14,False,False
2824,1638,2,2,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640.0,successful,41,US,USD,2020-12-28,2021-11-24,False,False
940,5230,4,4,"Clarke, Anderson and Lee",Robust explicit hardware,191200.0,191222.0,successful,1821,US,USD,2021-05-22,2021-06-30,False,True
3024,1763,3,9,Evans Group,Stand-alone actuating support,8000.0,12985.0,successful,164,US,USD,2021-04-26,2021-07-14,False,False
2164,4323,3,3,Bruce Group,Cross-platform methodical process improvement,5500.0,4300.0,failed,75,US,USD,2021-02-01,2021-09-05,False,True
2427,5256,2,2,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9134.0,successful,157,CH,CHF,2021-09-05,2021-12-16,False,False
1548,4836,8,15,Burton-Watkins,Extended reciprocal circuit,3500.0,8864.0,successful,246,US,USD,2020-08-01,2021-08-15,False,True
2657,5981,4,4,Lopez and Sons,Polarized human-resource protocol,150500.0,150755.0,successful,1396,US,USD,2021-11-14,2021-11-24,False,False
2916,1463,3,3,Cordova Ltd,Synergized radical product,90400.0,110279.0,successful,2506,US,USD,2021-05-05,2021-08-08,False,False
1348,4577,8,15,Brown-Vang,Robust heuristic artificial intelligence,9800.0,13439.0,successful,244,US,USD,2021-01-11,2021-08-25,False,False
557,4951,4,4,Cruz-Ward,Robust content-based emulation,2600.0,10804.0,successful,146,AU,AUD,2021-04-01,2021-10-19,False,False
2915,3567,2,8,Hernandez Group,Ergonomic uniform open system,128100.0,40107.0,failed,955,DK,DKK,2020-05-16,2021-03-18,False,True
320,5475,5,13,"Tran, Steele and Wilson",Profit-focused modular product,23300.0,98811.0,successful,1267,US,USD,2020-07-10,2021-03-23,False,True
1458,2114,2,8,"Summers, Gallegos and Stein",Mandatory mobile product,188100.0,5528.0,failed,67,US,USD,2020-09-24,2021-07-27,False,False
379,5216,6,19,Blair Group,Public-key 3rdgeneration budgetary management,4900.0,521.0,failed,5,US,USD,2020-11-17,2021-11-23,False,False
1879,1665,5,5,Nixon Inc,Centralized national firmware,800.0,663.0,failed,26,US,USD,2020-09-04,2021-04-16,False,True
597,6051,4,4,White LLC,Cross-group 4thgeneration middleware,96700.0,157635.0,successful,1561,US,USD,2021-03-21,2021-10-17,False,False
1130,3983,3,9,"Santos, Black and Donovan",Pre-emptive scalable access,600.0,5368.0,successful,48,US,USD,2020-04-15,2021-02-08,False,True
2354,2966,4,4,"Jones, Contreras and Burnett",Sharable intangible migration,181200.0,47459.0,failed,1130,US,USD,2021-01-27,2021-12-16,False,False
1358,4478,4,4,Stone-Orozco,Proactive scalable Graphical User Interface,115000.0,86060.0,failed,782,US,USD,2021-01-06,2021-05-06,False,False
188,4238,4,4,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800.0,161593.0,successful,2739,US,USD,2021-05-02,2021-08-26,False,False
2228,4404,1,1,Alexander-Williams,Triple-buffered cohesive structure,7200.0,6927.0,failed,210,US,USD,2021-04-17,2021-07-08,False,False
1743,5666,4,4,Marks Ltd,Realigned human-resource orchestration,44500.0,159185.0,successful,3537,CA,CAD,2020-09-14,2021-04-11,False,True
2563,3691,3,9,"Olsen, Edwards and Reid",Optional clear-thinking software,56000.0,172736.0,successful,2107,AU,AUD,2020-10-09,2021-06-06,False,False
2424,2703,3,3,"Daniels, Rose and Tyler",Centralized global approach,8600.0,5315.0,failed,136,US,USD,2021-03-17,2021-04-15,False,False
2369,4253,4,4,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100.0,195750.0,successful,3318,DK,DKK,2021-03-09,2021-08-28,False,False
1134,5652,2,2,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3525.0,failed,86,CA,CAD,2020-04-16,2021-03-02,False,False
2241,3279,4,4,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600.0,10550.0,successful,340,US,USD,2021-07-13,2021-09-11,False,False
2745,3233,5,20,Bailey PLC,Innovative actuating conglomeration,1000.0,718.0,failed,19,US,USD,2020-04-28,2021-03-22,False,False
1055,3017,4,4,Parker Group,Grass-roots foreground policy,88800.0,28358.0,failed,886,US,USD,2021-02-10,2021-08-16,False,False
1215,3482,5,13,Fox Group,Horizontal transitional paradigm,60200.0,138384.0,successful,1442,CA,CAD,2020-06-12,2021-02-20,False,True
2036,2166,4,4,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200.0,2625.0,failed,35,IT,EUR,2021-06-18,2021-10-07,False,False
1191,4146,4,4,Anthony-Shaw,Switchable contextually-based access,191300.0,45004.0,canceled,441,US,USD,2021-01-30,2021-05-23,False,False
879,2651,4,4,Cook LLC,Up-sized dynamic throughput,3700.0,2538.0,failed,24,US,USD,2021-02-24,2021-09-04,False,True
3062,1409,4,4,Sutton PLC,Mandatory reciprocal superstructure,8400.0,3188.0,failed,86,IT,EUR,2020-07-25,2021-05-11,False,False
